bbox_x1,bbox_y1,bbox_x2,bbox_y2,label,fname,labels
68,91,607,354,89,cars_train/00059.jpg,Dodge Dakota Crew Cab 2010
129,120,345,269,123,cars_train/00060.jpg,HUMMER H3T Crew Cab 2010
19,21,425,265,189,cars_train/00062.jpg,Volkswagen Golf Hatchback 2012
30,39,221,125,16,cars_train/00066.jpg,Audi 100 Sedan 1994
32,43,598,350,121,cars_train/00068.jpg,GMC Canyon Extended Cab 2012
142,124,675,445,4,cars_train/00069.jpg,Acura TSX Sedan 2012
220,313,1054,976,28,cars_train/00070.jpg,BMW 3 Series Sedan 2012
8,12,639,299,125,cars_train/00071.jpg,Honda Odyssey Minivan 2012
92,271,1178,749,93,cars_train/00072.jpg,Dodge Durango SUV 2012
15,12,314,230,105,cars_train/00073.jpg,Ford F-450 Super Duty Crew Cab 2012
14,12,309,223,105,cars_train/00074.jpg,Ford F-450 Super Duty Crew Cab 2012
45,74,522,253,187,cars_train/00075.jpg,Toyota Corolla Sedan 2012
12,27,284,166,58,cars_train/00076.jpg,Chevrolet Camaro Convertible 2012
25,25,3502,2017,109,cars_train/00077.jpg,Ford Edge SUV 2012
165,126,749,425,132,cars_train/00079.jpg,Hyundai Veracruz SUV 2012
20,21,292,217,110,cars_train/00080.jpg,Ford Ranger SuperCab 2011
63,113,597,413,191,cars_train/00082.jpg,Volkswagen Beetle Hatchback 2012
55,48,294,205,17,cars_train/00083.jpg,Audi 100 Wagon 1994
27,67,620,474,115,cars_train/00084.jpg,Ford E-Series Wagon Van 2012
15,80,629,402,48,cars_train/00085.jpg,Buick Verano Sedan 2012
119,300,1416,871,144,cars_train/00086.jpg,Jeep Patriot SUV 2012
17,36,455,215,48,cars_train/00087.jpg,Buick Verano Sedan 2012
171,176,2373,1751,169,cars_train/00088.jpg,Nissan Juke Hatchback 2012
49,195,1003,617,19,cars_train/00089.jpg,Audi S6 Sedan 2011
5,43,296,211,113,cars_train/00090.jpg,Ford F-150 Regular Cab 2007
49,57,494,419,164,cars_train/00091.jpg,Mercedes-Benz S-Class Sedan 2012
101,84,492,272,137,cars_train/00092.jpg,Hyundai Sonata Sedan 2012
23,53,258,144,174,cars_train/00093.jpg,Rolls-Royce Phantom Drophead Coupe Convertible 2012
19,60,783,440,111,cars_train/00094.jpg,Ford GT Coupe 2006
110,171,1213,648,121,cars_train/00095.jpg,GMC Canyon Extended Cab 2012
39,67,346,206,103,cars_train/00096.jpg,Ferrari 458 Italia Coupe 2012
3,7,76,50,56,cars_train/00097.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
65,37,578,360,50,cars_train/00098.jpg,Cadillac CTS-V Sedan 2012
27,60,486,364,36,cars_train/00099.jpg,BMW X3 SUV 2012
22,180,454,355,70,cars_train/00100.jpg,Chevrolet Express Van 2007
99,130,396,222,104,cars_train/00102.jpg,Fisker Karma Sedan 2012
1,76,480,315,73,cars_train/00104.jpg,Chevrolet Silverado 1500 Extended Cab 2012
57,266,967,623,132,cars_train/00105.jpg,Hyundai Veracruz SUV 2012
69,75,236,161,161,cars_train/00106.jpg,Mercedes-Benz C-Class Sedan 2012
24,17,249,163,130,cars_train/00107.jpg,Hyundai Santa Fe SUV 2012
7,27,212,147,87,cars_train/00108.jpg,Dodge Sprinter Cargo Van 2009
18,14,248,168,120,cars_train/00109.jpg,GMC Acadia SUV 2012
52,6,759,513,179,cars_train/00111.jpg,Spyker C8 Coupe 2009
231,103,430,226,136,cars_train/00112.jpg,Hyundai Genesis Sedan 2012
91,148,700,582,132,cars_train/00113.jpg,Hyundai Veracruz SUV 2012
26,90,376,243,82,cars_train/00115.jpg,Dodge Caliber Wagon 2012
84,44,663,342,41,cars_train/00117.jpg,Bentley Continental GT Coupe 2012
87,235,591,412,176,cars_train/00118.jpg,Rolls-Royce Phantom Sedan 2012
173,370,1207,960,146,cars_train/00119.jpg,Jeep Liberty SUV 2012
49,143,487,455,108,cars_train/00121.jpg,Ford Expedition EL SUV 2009
151,568,1954,1271,143,cars_train/00123.jpg,Jaguar XK XKR 2012
14,88,271,178,52,cars_train/00124.jpg,Cadillac Escalade EXT Crew Cab 2007
44,123,778,487,65,cars_train/00126.jpg,Chevrolet Cobalt SS 2010
69,103,537,322,78,cars_train/00127.jpg,Chrysler 300 SRT-8 2010
50,80,592,273,135,cars_train/00129.jpg,Hyundai Accent Sedan 2012
95,161,543,368,142,cars_train/00130.jpg,Isuzu Ascender SUV 2008
275,195,863,474,170,cars_train/00131.jpg,Nissan 240SX Coupe 1998
99,78,557,389,88,cars_train/00132.jpg,Dodge Journey SUV 2012
11,126,426,360,134,cars_train/00133.jpg,Hyundai Elantra Sedan 2007
1,2,267,185,160,cars_train/00134.jpg,Mercedes-Benz 300-Class Convertible 1993
19,735,2669,2192,57,cars_train/00135.jpg,Chevrolet Traverse SUV 2012
45,99,593,403,177,cars_train/00137.jpg,Scion xD Hatchback 2012
130,282,1425,900,55,cars_train/00138.jpg,Chevrolet Corvette ZR1 2012
72,215,628,481,183,cars_train/00139.jpg,Suzuki SX4 Sedan 2012
62,95,633,434,190,cars_train/00140.jpg,Volkswagen Golf Hatchback 1991
13,106,476,260,39,cars_train/00141.jpg,Bentley Arnage Sedan 2009
66,59,283,202,70,cars_train/00144.jpg,Chevrolet Express Van 2007
135,36,1181,885,139,cars_train/00145.jpg,Hyundai Azera Sedan 2012
24,78,608,379,186,cars_train/00148.jpg,Toyota Camry Sedan 2012
11,208,596,386,7,cars_train/00150.jpg,Aston Martin V8 Vantage Convertible 2012
23,66,499,311,46,cars_train/00152.jpg,Buick Regal GS 2012
6,138,627,361,29,cars_train/00153.jpg,BMW 3 Series Wagon 2012
76,4,1585,1120,148,cars_train/00155.jpg,Jeep Compass SUV 2012
32,130,973,661,137,cars_train/00157.jpg,Hyundai Sonata Sedan 2012
75,236,1196,846,178,cars_train/00158.jpg,Spyker C8 Convertible 2009
37,139,988,694,23,cars_train/00159.jpg,Audi S4 Sedan 2007
114,46,546,287,41,cars_train/00160.jpg,Bentley Continental GT Coupe 2012
12,83,629,354,72,cars_train/00161.jpg,Chevrolet Malibu Sedan 2007
38,66,548,385,175,cars_train/00162.jpg,Rolls-Royce Ghost Sedan 2012
46,84,661,428,0,cars_train/00163.jpg,AM General Hummer SUV 2000
13,29,239,174,36,cars_train/00164.jpg,BMW X3 SUV 2012
27,65,490,220,35,cars_train/00165.jpg,BMW M6 Convertible 2010
4,69,402,245,107,cars_train/00166.jpg,Ford Freestar Minivan 2007
19,27,429,258,40,cars_train/00167.jpg,Bentley Mulsanne Sedan 2011
2,22,140,81,118,cars_train/00169.jpg,GMC Savana Van 2012
48,71,615,453,118,cars_train/00170.jpg,GMC Savana Van 2012
6,108,493,267,162,cars_train/00172.jpg,Mercedes-Benz SL-Class Coupe 2009
26,61,508,342,119,cars_train/00173.jpg,GMC Yukon Hybrid SUV 2012
13,29,249,159,53,cars_train/00174.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
45,85,1005,558,65,cars_train/00176.jpg,Chevrolet Cobalt SS 2010
98,22,650,302,49,cars_train/00177.jpg,Buick Enclave SUV 2012
5,28,285,148,121,cars_train/00178.jpg,GMC Canyon Extended Cab 2012
3,40,297,157,141,cars_train/00180.jpg,Infiniti QX56 SUV 2011
2,9,196,125,160,cars_train/00183.jpg,Mercedes-Benz 300-Class Convertible 1993
34,51,604,344,160,cars_train/00184.jpg,Mercedes-Benz 300-Class Convertible 1993
24,35,620,438,132,cars_train/00185.jpg,Hyundai Veracruz SUV 2012
6,72,255,178,124,cars_train/00186.jpg,HUMMER H2 SUT Crew Cab 2009
4,408,1600,934,159,cars_train/00187.jpg,McLaren MP4-12C Coupe 2012
18,15,583,421,182,cars_train/00189.jpg,Suzuki SX4 Hatchback 2012
198,416,1271,935,44,cars_train/00190.jpg,Bugatti Veyron 16.4 Convertible 2009
129,75,654,422,142,cars_train/00191.jpg,Isuzu Ascender SUV 2008
37,24,259,212,188,cars_train/00192.jpg,Toyota 4Runner SUV 2012
187,327,1211,769,175,cars_train/00194.jpg,Rolls-Royce Ghost Sedan 2012
150,339,1313,771,76,cars_train/00195.jpg,Chrysler Sebring Convertible 2010
26,46,266,213,189,cars_train/00196.jpg,Volkswagen Golf Hatchback 2012
47,102,492,371,109,cars_train/00197.jpg,Ford Edge SUV 2012
91,121,574,357,5,cars_train/00198.jpg,Acura Integra Type R 2001
151,298,1285,835,190,cars_train/00199.jpg,Volkswagen Golf Hatchback 1991
30,55,301,187,15,cars_train/00200.jpg,Audi V8 Sedan 1994
21,1,386,200,11,cars_train/00201.jpg,Audi RS 4 Convertible 2008
233,217,1228,807,89,cars_train/00202.jpg,Dodge Dakota Crew Cab 2010
30,167,945,545,187,cars_train/00203.jpg,Toyota Corolla Sedan 2012
11,61,284,151,127,cars_train/00204.jpg,Honda Accord Coupe 2012
29,70,612,356,22,cars_train/00205.jpg,Audi S4 Sedan 2012
117,222,558,434,10,cars_train/00206.jpg,Aston Martin Virage Coupe 2012
31,119,438,258,92,cars_train/00207.jpg,Dodge Challenger SRT8 2011
26,151,360,256,7,cars_train/00208.jpg,Aston Martin V8 Vantage Convertible 2012
58,136,973,636,62,cars_train/00209.jpg,Chevrolet Sonic Sedan 2012
11,47,598,365,175,cars_train/00211.jpg,Rolls-Royce Ghost Sedan 2012
8,20,254,155,71,cars_train/00212.jpg,Chevrolet Monte Carlo Coupe 2007
37,62,261,191,194,cars_train/00213.jpg,Volvo XC90 SUV 2007
70,78,915,640,113,cars_train/00214.jpg,Ford F-150 Regular Cab 2007
38,50,221,138,71,cars_train/00215.jpg,Chevrolet Monte Carlo Coupe 2007
21,45,133,88,118,cars_train/00216.jpg,GMC Savana Van 2012
45,39,594,444,17,cars_train/00217.jpg,Audi 100 Wagon 1994
39,94,337,245,76,cars_train/00218.jpg,Chrysler Sebring Convertible 2010
89,1,597,316,17,cars_train/00219.jpg,Audi 100 Wagon 1994
16,103,462,347,106,cars_train/00220.jpg,Ford Mustang Convertible 2007
29,21,477,299,9,cars_train/00221.jpg,Aston Martin Virage Convertible 2012
89,58,545,338,195,cars_train/00222.jpg,smart fortwo Convertible 2012
42,115,299,288,98,cars_train/00223.jpg,FIAT 500 Abarth 2012
19,10,177,134,87,cars_train/00224.jpg,Dodge Sprinter Cargo Van 2009
20,50,463,313,120,cars_train/00225.jpg,GMC Acadia SUV 2012
36,63,613,397,60,cars_train/00227.jpg,Chevrolet Impala Sedan 2007
237,156,896,365,140,cars_train/00228.jpg,Infiniti G Coupe IPL 2012
5,46,255,138,135,cars_train/00229.jpg,Hyundai Accent Sedan 2012
73,109,606,374,105,cars_train/00231.jpg,Ford F-450 Super Duty Crew Cab 2012
15,110,544,381,83,cars_train/00232.jpg,Dodge Caliber Wagon 2007
276,124,1495,951,193,cars_train/00233.jpg,Volvo 240 Sedan 1993
59,63,549,404,110,cars_train/00235.jpg,Ford Ranger SuperCab 2011
19,138,571,424,6,cars_train/00236.jpg,Acura ZDX Hatchback 2012
11,10,396,265,64,cars_train/00237.jpg,Chevrolet Avalanche Crew Cab 2012
163,91,527,346,25,cars_train/00238.jpg,BMW ActiveHybrid 5 Sedan 2012
4,19,255,172,15,cars_train/00239.jpg,Audi V8 Sedan 1994
45,60,251,171,137,cars_train/00240.jpg,Hyundai Sonata Sedan 2012
32,59,1011,709,169,cars_train/00241.jpg,Nissan Juke Hatchback 2012
270,228,727,416,167,cars_train/00243.jpg,Nissan Leaf Hatchback 2012
21,93,479,331,6,cars_train/00244.jpg,Acura ZDX Hatchback 2012
22,59,536,238,60,cars_train/00245.jpg,Chevrolet Impala Sedan 2007
1,317,1280,945,166,cars_train/00246.jpg,Mitsubishi Lancer Sedan 2012
47,125,850,468,136,cars_train/00247.jpg,Hyundai Genesis Sedan 2012
52,167,508,387,176,cars_train/00248.jpg,Rolls-Royce Phantom Sedan 2012
11,35,246,186,189,cars_train/00250.jpg,Volkswagen Golf Hatchback 2012
576,466,2994,1953,166,cars_train/00251.jpg,Mitsubishi Lancer Sedan 2012
51,105,579,335,49,cars_train/00253.jpg,Buick Enclave SUV 2012
21,11,296,141,130,cars_train/00254.jpg,Hyundai Santa Fe SUV 2012
29,78,734,396,5,cars_train/00255.jpg,Acura Integra Type R 2001
85,215,776,511,20,cars_train/00256.jpg,Audi S5 Convertible 2012
23,146,617,329,30,cars_train/00257.jpg,BMW 6 Series Convertible 2007
34,86,227,166,50,cars_train/00258.jpg,Cadillac CTS-V Sedan 2012
75,254,2514,1929,186,cars_train/00259.jpg,Toyota Camry Sedan 2012
28,164,698,417,133,cars_train/00260.jpg,Hyundai Sonata Hybrid Sedan 2012
32,79,378,221,15,cars_train/00261.jpg,Audi V8 Sedan 1994
158,132,501,293,102,cars_train/00262.jpg,Ferrari 458 Italia Convertible 2012
177,299,730,673,39,cars_train/00263.jpg,Bentley Arnage Sedan 2009
42,72,472,299,68,cars_train/00264.jpg,Chevrolet Silverado 2500HD Regular Cab 2012
15,74,387,195,54,cars_train/00265.jpg,Chevrolet Corvette Convertible 2012
22,300,786,552,16,cars_train/00266.jpg,Audi 100 Sedan 1994
25,133,620,374,45,cars_train/00267.jpg,Bugatti Veyron 16.4 Coupe 2009
49,53,596,398,73,cars_train/00268.jpg,Chevrolet Silverado 1500 Extended Cab 2012
15,70,357,186,121,cars_train/00270.jpg,GMC Canyon Extended Cab 2012
11,23,141,80,173,cars_train/00271.jpg,Ram C/V Cargo Van Minivan 2012
8,1,590,327,99,cars_train/00272.jpg,FIAT 500 Convertible 2012
37,65,458,321,68,cars_train/00273.jpg,Chevrolet Silverado 2500HD Regular Cab 2012
31,69,435,310,19,cars_train/00274.jpg,Audi S6 Sedan 2011
165,183,495,358,129,cars_train/00275.jpg,Hyundai Veloster Hatchback 2012
75,93,529,360,131,cars_train/00276.jpg,Hyundai Tucson SUV 2012
1,38,251,135,155,cars_train/00278.jpg,Lincoln Town Car Sedan 2011
16,31,553,297,46,cars_train/00279.jpg,Buick Regal GS 2012
3,33,261,176,106,cars_train/00280.jpg,Ford Mustang Convertible 2007
214,240,387,342,150,cars_train/00281.jpg,Lamborghini Aventador Coupe 2012
20,97,460,356,60,cars_train/00282.jpg,Chevrolet Impala Sedan 2007
112,190,664,342,104,cars_train/00283.jpg,Fisker Karma Sedan 2012
49,101,942,619,93,cars_train/00284.jpg,Dodge Durango SUV 2012
7,20,634,298,193,cars_train/00285.jpg,Volvo 240 Sedan 1993
116,143,769,713,194,cars_train/00286.jpg,Volvo XC90 SUV 2007
56,299,1266,721,90,cars_train/00287.jpg,Dodge Dakota Club Cab 2007
60,46,258,138,188,cars_train/00288.jpg,Toyota 4Runner SUV 2012
205,197,741,425,14,cars_train/00289.jpg,Audi R8 Coupe 2012
68,30,620,506,139,cars_train/00290.jpg,Hyundai Azera Sedan 2012
27,147,573,471,141,cars_train/00291.jpg,Infiniti QX56 SUV 2011
133,73,806,251,9,cars_train/00292.jpg,Aston Martin Virage Convertible 2012
24,27,936,380,103,cars_train/00293.jpg,Ferrari 458 Italia Coupe 2012
49,67,362,245,176,cars_train/00298.jpg,Rolls-Royce Phantom Sedan 2012
24,66,982,711,146,cars_train/00299.jpg,Jeep Liberty SUV 2012
52,36,247,189,120,cars_train/00301.jpg,GMC Acadia SUV 2012
6,47,297,193,30,cars_train/00303.jpg,BMW 6 Series Convertible 2007
14,29,235,168,155,cars_train/00304.jpg,Lincoln Town Car Sedan 2011
37,125,582,456,82,cars_train/00306.jpg,Dodge Caliber Wagon 2012
171,63,1187,894,57,cars_train/00307.jpg,Chevrolet Traverse SUV 2012
16,136,775,418,5,cars_train/00308.jpg,Acura Integra Type R 2001
36,43,407,319,130,cars_train/00310.jpg,Hyundai Santa Fe SUV 2012
53,79,627,464,72,cars_train/00312.jpg,Chevrolet Malibu Sedan 2007
13,44,477,289,23,cars_train/00313.jpg,Audi S4 Sedan 2007
33,71,615,435,86,cars_train/00314.jpg,Dodge Ram Pickup 3500 Quad Cab 2009
555,278,1543,1207,169,cars_train/00315.jpg,Nissan Juke Hatchback 2012
10,29,276,164,122,cars_train/00316.jpg,Geo Metro Convertible 1993
38,8,564,402,46,cars_train/00319.jpg,Buick Regal GS 2012
42,17,440,282,6,cars_train/00320.jpg,Acura ZDX Hatchback 2012
9,304,1009,677,74,cars_train/00322.jpg,Chevrolet Silverado 1500 Regular Cab 2012
161,263,632,415,181,cars_train/00323.jpg,Suzuki Kizashi Sedan 2012
15,26,199,123,185,cars_train/00324.jpg,Toyota Sequoia SUV 2012
12,21,285,142,127,cars_train/00325.jpg,Honda Accord Coupe 2012
29,28,432,249,192,cars_train/00326.jpg,Volvo C30 Hatchback 2012
2,6,546,298,179,cars_train/00327.jpg,Spyker C8 Coupe 2009
10,105,660,475,113,cars_train/00329.jpg,Ford F-150 Regular Cab 2007
168,92,333,305,165,cars_train/00330.jpg,Mercedes-Benz Sprinter Van 2012
26,81,596,391,180,cars_train/00331.jpg,Suzuki Aerio Sedan 2007
76,247,396,396,100,cars_train/00332.jpg,Ferrari FF Coupe 2012
30,110,472,316,102,cars_train/00333.jpg,Ferrari 458 Italia Convertible 2012
309,598,1767,995,111,cars_train/00336.jpg,Ford GT Coupe 2006
45,55,530,308,37,cars_train/00337.jpg,BMW Z4 Convertible 2012
39,5,234,174,55,cars_train/00339.jpg,Chevrolet Corvette ZR1 2012
139,152,488,305,8,cars_train/00340.jpg,Aston Martin V8 Vantage Coupe 2012
152,195,502,436,168,cars_train/00342.jpg,Nissan NV Passenger Van 2012
63,36,760,504,146,cars_train/00343.jpg,Jeep Liberty SUV 2012
36,59,770,397,144,cars_train/00344.jpg,Jeep Patriot SUV 2012
26,13,234,194,112,cars_train/00345.jpg,Ford F-150 Regular Cab 2012
112,21,2859,1928,62,cars_train/00346.jpg,Chevrolet Sonic Sedan 2012
100,190,907,691,144,cars_train/00347.jpg,Jeep Patriot SUV 2012
14,59,522,266,54,cars_train/00348.jpg,Chevrolet Corvette Convertible 2012
42,82,956,685,88,cars_train/00349.jpg,Dodge Journey SUV 2012
17,52,247,158,85,cars_train/00350.jpg,Dodge Ram Pickup 3500 Crew Cab 2010
13,108,454,305,41,cars_train/00351.jpg,Bentley Continental GT Coupe 2012
107,40,433,240,142,cars_train/00352.jpg,Isuzu Ascender SUV 2008
3,60,499,289,116,cars_train/00353.jpg,Ford Fiesta Sedan 2012
44,212,984,596,56,cars_train/00354.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
28,93,1011,675,169,cars_train/00355.jpg,Nissan Juke Hatchback 2012
187,313,1381,1087,114,cars_train/00356.jpg,Ford Focus Sedan 2007
31,47,415,255,38,cars_train/00357.jpg,Bentley Continental Supersports Conv. Convertible 2012
53,116,562,353,28,cars_train/00358.jpg,BMW 3 Series Sedan 2012
27,71,630,422,57,cars_train/00359.jpg,Chevrolet Traverse SUV 2012
12,23,245,176,69,cars_train/00360.jpg,Chevrolet Silverado 1500 Classic Extended Cab 2007
17,64,941,620,118,cars_train/00361.jpg,GMC Savana Van 2012
108,121,539,357,49,cars_train/00362.jpg,Buick Enclave SUV 2012
14,60,402,300,127,cars_train/00363.jpg,Honda Accord Coupe 2012
15,47,286,184,52,cars_train/00364.jpg,Cadillac Escalade EXT Crew Cab 2007
17,82,630,496,52,cars_train/00365.jpg,Cadillac Escalade EXT Crew Cab 2007
67,55,508,338,31,cars_train/00366.jpg,BMW X5 SUV 2007
30,118,618,334,176,cars_train/00367.jpg,Rolls-Royce Phantom Sedan 2012
14,76,292,195,58,cars_train/00368.jpg,Chevrolet Camaro Convertible 2012
57,148,568,363,9,cars_train/00370.jpg,Aston Martin Virage Convertible 2012
2,190,371,490,167,cars_train/00372.jpg,Nissan Leaf Hatchback 2012
243,318,805,629,171,cars_train/00373.jpg,Plymouth Neon Coupe 1999
9,184,740,499,5,cars_train/00374.jpg,Acura Integra Type R 2001
122,48,697,401,175,cars_train/00375.jpg,Rolls-Royce Ghost Sedan 2012
74,187,917,734,134,cars_train/00376.jpg,Hyundai Elantra Sedan 2007
20,48,624,453,132,cars_train/00377.jpg,Hyundai Veracruz SUV 2012
16,25,290,215,155,cars_train/00378.jpg,Lincoln Town Car Sedan 2011
119,194,942,586,53,cars_train/00379.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
137,76,600,370,98,cars_train/00380.jpg,FIAT 500 Abarth 2012
4,55,494,365,145,cars_train/00382.jpg,Jeep Wrangler SUV 2012
51,87,489,290,58,cars_train/00384.jpg,Chevrolet Camaro Convertible 2012
217,199,631,358,140,cars_train/00385.jpg,Infiniti G Coupe IPL 2012
65,321,1232,828,55,cars_train/00386.jpg,Chevrolet Corvette ZR1 2012
47,150,1007,635,62,cars_train/00387.jpg,Chevrolet Sonic Sedan 2012
18,53,244,175,130,cars_train/00388.jpg,Hyundai Santa Fe SUV 2012
5,96,409,262,47,cars_train/00389.jpg,Buick Rainier SUV 2007
14,21,782,487,159,cars_train/00390.jpg,McLaren MP4-12C Coupe 2012
433,262,1339,985,165,cars_train/00391.jpg,Mercedes-Benz Sprinter Van 2012
62,220,992,667,3,cars_train/00392.jpg,Acura TL Type-S 2008
110,266,986,700,194,cars_train/00393.jpg,Volvo XC90 SUV 2007
58,45,205,165,130,cars_train/00395.jpg,Hyundai Santa Fe SUV 2012
30,29,282,164,22,cars_train/00397.jpg,Audi S4 Sedan 2012
29,93,408,242,39,cars_train/00398.jpg,Bentley Arnage Sedan 2009
121,108,655,387,25,cars_train/00399.jpg,BMW ActiveHybrid 5 Sedan 2012
24,78,366,232,87,cars_train/00401.jpg,Dodge Sprinter Cargo Van 2009
1,18,392,240,16,cars_train/00402.jpg,Audi 100 Sedan 1994
30,132,724,361,179,cars_train/00404.jpg,Spyker C8 Coupe 2009
1,157,990,640,74,cars_train/00406.jpg,Chevrolet Silverado 1500 Regular Cab 2012
19,136,498,329,58,cars_train/00407.jpg,Chevrolet Camaro Convertible 2012
49,76,343,266,18,cars_train/00408.jpg,Audi TT Hatchback 2011
21,66,605,463,188,cars_train/00409.jpg,Toyota 4Runner SUV 2012
31,119,404,248,4,cars_train/00410.jpg,Acura TSX Sedan 2012
52,47,586,260,13,cars_train/00411.jpg,Audi TTS Coupe 2012
195,372,1908,1339,175,cars_train/00412.jpg,Rolls-Royce Ghost Sedan 2012
316,344,1269,891,85,cars_train/00414.jpg,Dodge Ram Pickup 3500 Crew Cab 2010
122,157,921,587,111,cars_train/00416.jpg,Ford GT Coupe 2006
63,69,603,385,49,cars_train/00417.jpg,Buick Enclave SUV 2012
12,70,388,273,56,cars_train/00418.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
50,89,584,387,72,cars_train/00419.jpg,Chevrolet Malibu Sedan 2007
71,64,425,328,98,cars_train/00420.jpg,FIAT 500 Abarth 2012
71,158,690,341,151,cars_train/00421.jpg,Lamborghini Gallardo LP 570-4 Superleggera 2012
32,74,277,203,161,cars_train/00422.jpg,Mercedes-Benz C-Class Sedan 2012
69,59,637,461,84,cars_train/00423.jpg,Dodge Caravan Minivan 1997
22,83,415,322,4,cars_train/00424.jpg,Acura TSX Sedan 2012
48,36,572,300,6,cars_train/00425.jpg,Acura ZDX Hatchback 2012
85,318,1223,863,193,cars_train/00426.jpg,Volvo 240 Sedan 1993
33,128,581,458,116,cars_train/00427.jpg,Ford Fiesta Sedan 2012
33,102,595,429,178,cars_train/00428.jpg,Spyker C8 Convertible 2009
83,182,573,402,72,cars_train/00429.jpg,Chevrolet Malibu Sedan 2007
82,74,589,340,184,cars_train/00430.jpg,Tesla Model S Sedan 2012
47,201,534,426,186,cars_train/00431.jpg,Toyota Camry Sedan 2012
54,128,429,353,162,cars_train/00432.jpg,Mercedes-Benz SL-Class Coupe 2009
58,189,879,642,163,cars_train/00433.jpg,Mercedes-Benz E-Class Sedan 2012
18,50,280,162,170,cars_train/00434.jpg,Nissan 240SX Coupe 1998
20,75,606,325,63,cars_train/00435.jpg,Chevrolet Express Cargo Van 2007
20,51,271,180,50,cars_train/00436.jpg,Cadillac CTS-V Sedan 2012
19,67,412,314,98,cars_train/00437.jpg,FIAT 500 Abarth 2012
52,94,543,323,25,cars_train/00438.jpg,BMW ActiveHybrid 5 Sedan 2012
12,60,456,306,106,cars_train/00440.jpg,Ford Mustang Convertible 2007
53,56,391,278,189,cars_train/00442.jpg,Volkswagen Golf Hatchback 2012
4,4,377,277,78,cars_train/00444.jpg,Chrysler 300 SRT-8 2010
